x0,y0,x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9,x10,y10,x11,y11,x12,y12,x13,y13,x14,y14,x15,y15,x16,y16
0.8257233,0.25728852,0.82958835,0.24746788,0.8223777,0.24776334,0.83627874,0.2540249,0.8180213,0.25550163,0.8460016,0.31319073,0.81270695,0.31743464,0.8582098,0.38354966,0.80691683,0.3911849,0.85644686,0.45277712,0.8031762,0.4585234,0.8415923,0.45508632,0.81982654,0.456452,0.8447275,0.5626644,0.8185692,0.5629538,0.8488844,0.6504683,0.82046854,0.64993393
0.82547903,0.25655976,0.82939434,0.24684033,0.82214415,0.2470397,0.8360472,0.2539196,0.8176879,0.25511074,0.8455898,0.31359363,0.8119338,0.31772417,0.8575625,0.38438246,0.80584854,0.39221534,0.85640556,0.45399818,0.80256146,0.46080732,0.8414181,0.45617777,0.81932896,0.45763838,0.8453595,0.56464696,0.8181899,0.56496483,0.8501121,0.65233535,0.82021236,0.65181214
0.8250014,0.25544485,0.8289623,0.24567936,0.82160103,0.24588713,0.83559304,0.25278294,0.8169975,0.25398248,0.84495336,0.3124393,0.8111227,0.31667337,0.8570654,0.383221,0.80489343,0.3910875,0.8563598,0.45350057,0.8013183,0.4605321,0.8409997,0.45544448,0.8187792,0.4570729,0.84526795,0.5636086,0.8178431,0.5640485,0.8504947,0.6507784,0.82017547,0.65048486
0.8243019,0.25568745,0.8282613,0.24587451,0.8208416,0.24614437,0.83485395,0.25278696,0.81613445,0.254196,0.8442814,0.31219947,0.81028384,0.31685707,0.8566615,0.38286263,0.8041951,0.39149714,0.856414,0.45301682,0.80046284,0.46093887,0.84054464,0.45615593,0.8182336,0.45805407,0.845527,0.565659,0.8178852,0.56629443,0.85112613,0.6529787,0.8204159,0.6529087
0.8228734,0.25637066,0.8269178,0.24656592,0.8196403,0.24750625,0.8341274,0.25243562,0.8159482,0.25597402,0.8436689,0.31160197,0.8110785,0.3185612,0.85465974,0.3797246,0.8049914,0.38925883,0.85710573,0.44957295,0.7996356,0.45709577,0.84034425,0.4593436,0.81911796,0.4622456,0.84468424,0.5656967,0.81893265,0.5671351,0.85068387,0.6555761,0.82216066,0.6561444
0.8222287,0.256412,0.8262245,0.24654475,0.8187667,0.2469864,0.83298075,0.2528618,0.814266,0.25490406,0.8426699,0.310995,0.8088145,0.31692252,0.8555195,0.37949294,0.8026907,0.39074117,0.855567,0.44820064,0.79840654,0.46064162,0.83963555,0.4547365,0.81736606,0.4572527,0.84580547,0.56352603,0.8175096,0.56459326,0.8521296,0.6493368,0.8201787,0.64963263
0.8217482,0.25695324,0.8257861,0.24706028,0.81827086,0.24758871,0.83256054,0.2533916,0.81378955,0.2557101,0.8419978,0.31127632,0.8085117,0.31743324,0.8545293,0.37841114,0.8018331,0.3893368,0.8546526,0.44609007,0.7969719,0.45797682,0.8390293,0.4532585,0.8171199,0.45594135,0.84519273,0.5596854,0.81813633,0.5609037,0.85108155,0.64452595,0.8211261,0.64498514
0.82131046,0.25723523,0.8253232,0.24724472,0.8177624,0.24794383,0.8319769,0.2534068,0.81317693,0.25617367,0.8415629,0.3111627,0.80786496,0.31804812,0.8541878,0.37799367,0.8014289,0.38999158,0.85438615,0.4459539,0.79696643,0.45784354,0.8387397,0.45325828,0.8167426,0.4562926,0.8446194,0.5600993,0.8179297,0.5616582,0.84993774,0.64470106,0.8210416,0.64561
0.82146245,0.25685567,0.8252956,0.24680364,0.8177051,0.2476657,0.83137953,0.253189,0.8124761,0.2562576,0.8407733,0.3111866,0.80668384,0.31877187,0.85400546,0.37786725,0.80049366,0.39139268,0.85427773,0.44478777,0.79615307,0.45828196,0.8381991,0.45386648,0.81599253,0.45747107,0.8441097,0.5612978,0.8178403,0.5635266,0.8490006,0.64545035,0.82111186,0.6475479
0.8206976,0.25753212,0.8245951,0.24734536,0.8169203,0.24827112,0.8308353,0.25379702,0.8117633,0.25700372,0.8404919,0.31204695,0.8060943,0.31991833,0.85371524,0.3786898,0.7999477,0.3932373,0.85418236,0.44523335,0.79654986,0.46030745,0.83822584,0.45404914,0.81580514,0.45771098,0.84386224,0.5598371,0.8171689,0.56203234,0.84834164,0.6446901,0.82046074,0.6465279
