x0,y0,x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9,x10,y10,x11,y11,x12,y12,x13,y13,x14,y14,x15,y15,x16,y16
0.8729334,0.32415593,0.87508625,0.31454012,0.8703991,0.31558058,0.87883663,0.31864873,0.8673791,0.32129547,0.8816852,0.37258884,0.86612314,0.37518486,0.883161,0.4451783,0.86629707,0.44870573,0.87160605,0.5044763,0.8643382,0.50684375,0.87719727,0.50624603,0.8668809,0.506734,0.8703958,0.5957987,0.85940725,0.5962716,0.8717967,0.6636944,0.8598134,0.66479534
0.04352953,0.94063497,0.045769732,0.93558854,0.04282193,0.93873435,0.044978883,0.91893274,0.04580028,0.9251981,0.047632303,0.87546504,0.047768492,0.8867215,0.050223093,0.79456323,0.041722428,0.8141565,0.05093795,0.7699942,0.042137314,0.78867584,0.06533464,0.79610586,0.061926555,0.800676,0.040909804,0.8353715,0.044804003,0.83480346,0.06215455,0.806416,0.06500025,0.80318034
0.86808604,0.3213076,0.8708192,0.31336161,0.86649096,0.31312093,0.87653935,0.31674942,0.86469615,0.3162746,0.8811473,0.36541113,0.8617531,0.36469907,0.8824256,0.43318346,0.8606375,0.4322665,0.8732106,0.4895829,0.8608033,0.4880025,0.875384,0.49503425,0.8621611,0.49378574,0.8736345,0.58923644,0.8551359,0.58790284,0.87733954,0.66756606,0.85447514,0.6651331
0.8635027,0.32168052,0.8666254,0.31356218,0.8626197,0.3131621,0.87431115,0.3169475,0.86274177,0.316393,0.88015264,0.36644685,0.86085576,0.36526537,0.88112175,0.4338906,0.858756,0.43129718,0.87198013,0.490042,0.85764647,0.4849557,0.87337315,0.4940875,0.8603179,0.49203455,0.8722836,0.58489656,0.85379803,0.58306783,0.8757847,0.66237015,0.8529863,0.6584446
0.86253446,0.32001433,0.8660002,0.31156126,0.8609002,0.31151554,0.8739662,0.31658137,0.8600055,0.31778255,0.88076496,0.36869243,0.859015,0.36965543,0.88021296,0.43785924,0.8554474,0.4356923,0.86804265,0.49338675,0.85621995,0.4886094,0.87435764,0.49504822,0.8593764,0.4934907,0.87258303,0.5884777,0.8522045,0.58680403,0.8719409,0.662833,0.8466727,0.65896493
0.86101466,0.3211889,0.8643838,0.31269088,0.85929936,0.31284586,0.87213355,0.31815547,0.8582224,0.31980273,0.8795806,0.37093127,0.8565821,0.37296486,0.8797681,0.4399466,0.8531477,0.44016567,0.86825246,0.49587658,0.8558001,0.4932291,0.87373036,0.49945417,0.8577876,0.49858063,0.87315524,0.59430856,0.85076904,0.5932481,0.8710408,0.6701071,0.8433758,0.6669823
0.8589088,0.31935057,0.8626305,0.31092823,0.85729074,0.31082588,0.8709778,0.31732267,0.8563385,0.31868804,0.8791653,0.37164596,0.8545434,0.3736882,0.8810739,0.43930522,0.8510019,0.43962994,0.87050736,0.49379957,0.8527074,0.4920239,0.87269604,0.50292003,0.85556954,0.5018293,0.8749348,0.59993917,0.8494256,0.5983283,0.8752537,0.6758002,0.8434105,0.6718058
0.8559808,0.3179753,0.8596057,0.3101311,0.8549016,0.3095307,0.8679277,0.31618395,0.8546575,0.31629622,0.87657386,0.36894053,0.85226154,0.3699704,0.8797242,0.43523958,0.84877664,0.43474823,0.8711799,0.49398556,0.84890795,0.49044943,0.86992025,0.49786308,0.85318756,0.4965193,0.8730572,0.5929268,0.8480262,0.59126776,0.8758753,0.6697003,0.84416944,0.6652754
0.852385,0.32022986,0.8559046,0.31221795,0.8516013,0.3120183,0.8641142,0.31752196,0.8519384,0.31813,0.87311745,0.3686107,0.8490381,0.3702542,0.8777674,0.4331312,0.84501666,0.43362015,0.87173575,0.4959446,0.84247303,0.48986587,0.86555475,0.49804312,0.8494983,0.49701425,0.8673304,0.5882045,0.84633774,0.5872096,0.8703006,0.6626048,0.8453277,0.6587993
0.8528698,0.31504276,0.85622185,0.30683622,0.850917,0.30717784,0.8626418,0.31258565,0.8491152,0.31389695,0.8705122,0.36551857,0.845329,0.36788976,0.8761522,0.4313049,0.841506,0.4326966,0.87229425,0.50076866,0.8382916,0.49435785,0.8646025,0.49297872,0.84830093,0.493034,0.86370736,0.5827048,0.84405965,0.58248675,0.86523706,0.65842116,0.8445286,0.6568082
0.8508321,0.31074065,0.85444224,0.30252713,0.84849274,0.30277088,0.86042565,0.3096807,0.8458025,0.3109005,0.8687321,0.36531502,0.8402052,0.36835057,0.8752759,0.43059123,0.8345888,0.43248633,0.87388784,0.5017625,0.8313497,0.49666542,0.8620688,0.49355617,0.8439296,0.49425346,0.8610713,0.5847848,0.8426339,0.5849526,0.85964197,0.65999126,0.84249973,0.65878856
0.84832966,0.31202483,0.85173637,0.30388132,0.8458048,0.30437592,0.85744447,0.31033003,0.8429247,0.31224707,0.86645263,0.3645594,0.83697206,0.3692375,0.8742871,0.42704132,0.8320554,0.4337225,0.8753292,0.49593836,0.82794535,0.4994385,0.86052746,0.49290156,0.8418646,0.49439383,0.8610658,0.5853095,0.8412654,0.5859455,0.8595132,0.6618191,0.840868,0.66154844
0.8454261,0.31077126,0.84871465,0.30248055,0.84319514,0.3033464,0.8549919,0.30817467,0.8412711,0.31131035,0.8653552,0.36194992,0.83618706,0.36774155,0.8741952,0.4237292,0.83161956,0.43117106,0.875313,0.49349406,0.8272154,0.4962984,0.85938686,0.49135223,0.8411213,0.49295884,0.8596425,0.5825848,0.84087706,0.5832947,0.8577094,0.65858006,0.8408966,0.6582123
